Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
09/20/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL,,,,-$572.71
09/18/2023,Buy,LLY,TDA TRAN - Bought 1 (LLY) @572.7050,1,$572.71,,-$572.71
09/18/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL,,,,-$4986.44
09/15/2023,Reinvest Shares,SNOXX,TDA TRAN - Bought 23.06 (SNOXX) @1.0000,23.06,$1.00,,-$23.06
09/15/2023,Cash Dividend,,TDA TRAN - ORDINARY DIVIDEND (SNOXX),,,,$23.06
09/15/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL,,,,-$1226.89
09/14/2023,Buy,AAPL,TDA TRAN - Bought 10 (AAPL) @175.4135,10,$175.41,,-$1754.14
09/14/2023,Buy,NVDA,TDA TRAN - Bought 2 (NVDA) @457.1417,2,$457.14,,-$914.28
09/14/2023,Buy,TSLA,TDA TRAN - Bought 5 (TSLA) @274.7150,5,$274.72,,-$1373.58
09/14/2023,Buy,GE,TDA TRAN - Bought 3 (GE) @115.5350,3,$115.54,,-$346.61
09/14/2023,Buy,LLY,TDA TRAN - Bought 1 (LLY) @597.8300,1,$597.83,,-$597.83
09/14/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT,,,,$14006.80
09/14/2023,Qual Div Reinvest,,TDA TRAN - QUALIFIED DIVIDEND (MSFT),,,,$6.80
09/13/2023,MoneyLink Transfer,,TDA TRAN - CLIENT REQUESTED ELECTRONIC FUNDING RECEIPT (FUNDS NOW),,,,$14000.00
09/13/2023,Buy,AAPL,TDA TRAN - Bought 7 (AAPL) @175.2699,7,$175.27,,-$1226.89
08/31/2023,Journaled Shares,MMDA1,TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1),1.15,,,
08/17/2023,Journaled Shares,,TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL,,,,-$5130.20
08/17/2023,Qual Div Reinvest,,TDA TRAN - QUALIFIED DIVIDEND (AAPL),,,,$3.12
08/15/2023,Reinvest Shares,SNOXX,TDA TRAN - Bought 19.81 (SNOXX) @1.0000,19.81,$1.00,,-$19.81
08/15/2023,Cash Dividend,,TDA TRAN - ORDINARY DIVIDEND (SNOXX),,,,$19.81
08/15/2023,Buy,SPY,TDA TRAN - Bought 10 (SPY) @444.2594,10,$444.26,,-$4442.59
08/15/2023,Buy,AMZN,TDA TRAN - Bought 5 (AMZN) @138.1464,5,$138.15,,-$690.73
